Genre	Artist
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	 Arturo Toscanini
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	 Philharmonia Orchestra
Genre0	 Herbert von Karajan
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	 Columbia Symphony Orchestra
Genre0	 Bruno Walter
Genre0	Ludwig van Beethoven
Genre0	 Fritz Reiner
Genre0	Ludwig van Beethoven
Genre0	 Philharmonia Orchestra
Genre0	 Herbert von Karajan
Genre0	Ludwig van Beethoven
Genre0	 Berliner Philharmoniker
Genre0	 Wilhelm Furtwängler
Genre0	Ludwig van Beethoven
Genre0	 London Symphony Orchestra
Genre0	Ludwig van Beethoven
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre0	Ludwig van Beethoven
Genre7	Ludwig van Beethoven
Genre7	 Concertgebouworkest
Genre7	Ludwig van Beethoven
Genre0	Ludwig van Beethoven
Genre0	 Arturo Toscanini
Genre0	Ludwig van Beethoven
Genre0	 Columbia Symphony Orchestra
Genre0	 Bruno Walter
Genre0	Ludwig van Beethoven
Genre0	Ludwig van Beethoven
Genre0	 Wiener Philharmoniker
Genre0	 Herbert von Karajan
Genre5	Ludwig van Beethoven
Genre0	Ludwig van Beethoven
Genre0	 Arturo Toscanini
Genre7	Ludwig van Beethoven
Genre7	 Concertgebouworkest
Genre5	Ludwig van Beethoven
Genre0	Ludwig van Beethoven
Genre0	 Concertgebouworkest
Genre7	Ludwig van Beethoven
Genre7	 Concertgebouworkest
Genre5	Ludwig van Beethoven
Genre5	 Fritz Reiner
Genre2	Roza Eskenazi
Genre4	Francisco Canaro
Genre4	 Ernesto Fama
Genre8	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre4	Giorgos Papasideris
Genre7	Giorgos Papasideris
Genre6	Эрнест Хемингуэй
Genre5	Rita Ampatzi
Genre7	Giorgos Papasideris
Genre5	Rita Ampatzi
Genre8	Эрнест Хемингуэй
Genre7	Rita Ampatzi
Genre8	Эрнест Хемингуэй
Genre8	Эрнест Хемингуэй
Genre4	Francisco Canaro
Genre4	 Ernesto Fama
Genre8	Эрнест Хемингуэй
Genre4	Giorgos Papasideris
Genre2	Rita Ampatzi
Genre4	Rita Ampatzi
Genre0	Roza Eskenazi
Genre8	Эрнест Хемингуэй
Genre7	Roza Eskenazi
Genre4	Rita Ampatzi
Genre8	Эрнест Хемингуэй
Genre4	Giorgos Papasideris
Genre8	Эрнест Хемингуэй
Genre8	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre8	Эрнест Хемингуэй
Genre2	Rita Ampatzi
Genre0	Giorgos Papasideris
Genre6	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre2	Roza Eskenazi
Genre5	Rita Ampatzi
Genre4	Markos Vamvakaris
Genre8	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre2	Charlie Chaplin
Genre2	Roza Eskenazi
Genre6	Эрнест Хемингуэй
Genre6	Эрнест Хемингуэй
Genre2	Markos Vamvakaris
Genre6	Эрнест Хемингуэй
Genre1	Orchestra Studio 7
Genre1	Orchestra Studio 7
Genre0	Ludwig van Beethoven
Genre0	 Rudolf Serkin
Genre0	 Bruno Walter
Genre9	Orchestra Studio 7
Genre0	 Vladimir Horowitz
Genre5	Charlie Chaplin
Genre4	Orchestra Studio 7
Genre4	Orchestra Studio 7
Genre5	Lata Mangeshkar
Genre9	Orchestra Studio 7
Genre5	Charlie Chaplin
Genre4	Asha Bhosle
Genre4	 Mohammed Rafi
Genre7	Wolfgang Amadeus Mozart
Genre7	 Wiener Philharmoniker
Genre7	 Bruno Walter
Genre0	Johann Sebastian Bach
Genre0	 Claudio Arrau
Genre7	Giuseppe Verdi
Genre0	 Arturo Toscanini
Genre0	Franz Liszt
Genre0	 Vladimir Horowitz
Genre7	Felix Mendelssohn
Genre7	 Arturo Toscanini
Genre5	Charlie Chaplin
Genre7	Wolfgang Amadeus Mozart
Genre7	 Wiener Philharmoniker
Genre4	Giuseppe Verdi
Genre4	Orchestra Studio 7
Genre0	Maurice Ravel
Genre0	 Oscar Levant
Genre2	Orchestra Studio 7
Genre5	 Oscar Levant
Genre7	Ludwig van Beethoven
Genre7	 Berliner Philharmoniker
Genre1	Orchestra Studio 7
Genre0	Ludwig van Beethoven
Genre2	Mohammed Rafi
Genre0	Frédéric Chopin
Genre0	 Oscar Levant
Genre0	Johann Sebastian Bach
Genre0	 Oscar Levant
Genre0	Franz Liszt
Genre0	 Vladimir Horowitz
Genre5	Claude Debussy
Genre5	 Arturo Toscanini
Genre0	Francisco Canaro
Genre7	Orchestra Studio 7
Genre0	Ludwig van Beethoven
Genre0	 New York Philharmonic
Genre0	 Bruno Walter
Genre0	Ludwig van Beethoven
Genre0	 Rudolf Serkin
Genre2	Giuseppe Verdi
Genre0	Franz Liszt
Genre0	 Oscar Levant
Genre7	Wolfgang Amadeus Mozart
Genre7	 London Philharmonic Orchestra
Genre7	Johannes Brahms
Genre7	 Arturo Toscanini
Genre0	 Arturo Toscanini
Genre0	Frédéric Chopin
Genre0	 Vladimir Horowitz
Genre9	Orchestra Studio 7
Genre5	Orchestra Studio 7
Genre0	Ludwig van Beethoven
Genre0	 Rudolf Serkin
Genre0	 Bruno Walter
Genre7	 Oscar Levant
Genre0	Orchestra Studio 7
Genre4	Asha Bhosle
Genre3	Orchestra Studio 7
Genre5	Orchestra Studio 7
Genre0	Claude Debussy
Genre0	 Arturo Toscanini
Genre0	Wolfgang Amadeus Mozart
Genre0	 New York Philharmonic
Genre1	Orchestra Studio 7
Genre4	Orchestra Studio 7
Genre0	Johann Sebastian Bach
Genre0	 Claudio Arrau
Genre0	Robert Schumann
Genre0	 William Kapell
Genre5	 William Kapell
Genre8	Эрих Мария Ремарк
Genre5	 William Kapell
Genre2	Lata Mangeshkar
Genre8	Эрих Мария Ремарк
Genre0	Sergei Rachmaninoff
Genre0	 William Kapell
Genre0	 Fritz Reiner
Genre5	 William Kapell
Genre8	Эрих Мария Ремарк
Genre0	Gustav Mahler
Genre0	 Bruno Walter
Genre0	 New York Philharmonic
Genre0	Frédéric Chopin
Genre0	 William Kapell
Genre0	 Pierre Monteux
Genre8	Эрих Мария Ремарк
Genre4	 Arturo Toscanini
Genre7	Johannes Brahms
Genre7	 Pierre Monteux
Genre6	Эрих Мария Ремарк
Genre8	Эрих Мария Ремарк
Genre5	 William Kapell
Genre0	Wolfgang Amadeus Mozart
Genre0	 William Kapell
Genre8	Эрих Мария Ремарк
Genre0	Francisco Canaro
Genre0	 William Kapell
Genre2	Francisco Canaro
Genre5	 William Kapell
Genre8	Эрих Мария Ремарк
Genre8	Эрих Мария Ремарк
Genre8	Эрих Мария Ремарк
Genre5	Sergei Rachmaninoff
Genre5	 William Kapell
Genre5	 Fritz Reiner
Genre4	Francisco Canaro
Genre8	Эрих Мария Ремарк
Genre7	Ludwig van Beethoven
Genre7	 Bruno Walter
Genre7	 New York Philharmonic
Genre8	Эрих Мария Ремарк
Genre8	Эрих Мария Ремарк
Genre0	Johann Sebastian Bach
Genre0	 William Kapell
Genre8	Эрих Мария Ремарк
Genre6	Эрих Мария Ремарк
Genre5	Felix Mendelssohn
Genre6	Эрих Мария Ремарк
Genre0	Shamshad Begum
Genre8	Эрих Мария Ремарк
Genre6	Эрих Мария Ремарк
Genre6	Эрих Мария Ремарк
Genre8	Эрих Мария Ремарк
Genre0	Sergei Rachmaninoff
Genre0	 William Kapell
Genre0	 Fritz Reiner
Genre0	Ludwig van Beethoven
Genre0	 Arturo Toscanini
Genre0	Johann Sebastian Bach
Genre0	 William Kapell
Genre7	Igor Stravinsky
Genre7	 Pierre Monteux
Genre5	Sergei Rachmaninoff
Genre5	 William Kapell
Genre0	Franz Liszt
Genre0	 William Kapell
Genre8	Эрих Мария Ремарк
Genre5	Felix Mendelssohn
Genre5	 Bruno Walter
Genre5	 New York Philharmonic
Genre5	Robert Schumann
Genre5	 Claudio Arrau
Genre8	Эрих Мария Ремарк
Genre0	Wolfgang Amadeus Mozart
Genre0	 William Kapell
Genre0	Frédéric Chopin
Genre0	 William Kapell
Genre2	Mohammed Rafi
Genre8	Эрих Мария Ремарк
Genre5	Sergei Rachmaninoff
Genre5	 William Kapell
Genre5	 Fritz Reiner
Genre8	Эрих Мария Ремарк
Genre0	 Pierre Monteux
Genre5	Johann Sebastian Bach
Genre5	 William Kapell
Genre6	Эрих Мария Ремарк
Genre6	Эрих Мария Ремарк
Genre6	Эрих Мария Ремарк
Genre8	Эрих Мария Ремарк
Genre0	Igor Stravinsky
Genre0	Frédéric Chopin
Genre0	 Arthur Rubinstein
Genre0	Johannes Brahms
Genre0	Franz Schubert
Genre7	George Frideric Handel
Genre2	Maurice Ravel
Genre2	 Pierre Monteux
Genre5	Frédéric Chopin
Genre0	Johann Sebastian Bach
Genre0	 Jascha Heifetz
Genre5	Frédéric Chopin
Genre5	 Arthur Rubinstein
Genre2	Mohammed Rafi
Genre7	Pyotr Ilyich Tchaikovsky
Genre7	 Jascha Heifetz
Genre7	 Fritz Reiner
Genre0	Johann Sebastian Bach
Genre0	 Jascha Heifetz
Genre2	Francisco Canaro
Genre7	Giuseppe Verdi
Genre7	 Arturo Toscanini
Genre2	Francisco Canaro
Genre0	Frédéric Chopin
Genre0	 Arthur Rubinstein
Genre7	George Frideric Handel
Genre5	Frédéric Chopin
Genre5	 Arthur Rubinstein
Genre5	Johann Sebastian Bach
Genre5	 Jascha Heifetz
Genre5	 Pierre Monteux
Genre2	 Jascha Heifetz
Genre0	Frédéric Chopin
Genre0	 Arthur Rubinstein
Genre7	Gustav Mahler
Genre7	 Bruno Walter
Genre0	Frédéric Chopin
Genre7	Giuseppe Verdi
Genre7	 Arturo Toscanini
Genre4	Gustav Mahler
Genre4	 Bruno Walter
Genre0	 Pierre Monteux
Genre2	Geeta Dutt
Genre4	Giuseppe Verdi
Genre4	 Arturo Toscanini
Genre7	Giacomo Puccini
Genre7	 Arturo Toscanini
Genre0	Gustav Mahler
Genre0	 Bruno Walter
Genre0	 Columbia Symphony Orchestra
Genre5	Felix Mendelssohn
Genre5	Frédéric Chopin
Genre7	George Frideric Handel
Genre7	Giacomo Puccini
Genre7	 Arturo Toscanini
Genre0	Robert Schumann
Genre7	George Frideric Handel
Genre7	George Frideric Handel
Genre2	Igor Stravinsky
Genre0	Claude Debussy
Genre0	 Robert Casadesus
Genre2	George Frideric Handel
Genre5	George Frideric Handel
Genre5	Johannes Brahms
Genre5	 Isaac Stern
Genre0	 Bruno Walter
Genre0	 Columbia Symphony Orchestra
Genre6	Igor Stravinsky
Genre7	Gustav Mahler
Genre7	 Bruno Walter
Genre2	Francisco Canaro
Genre2	Igor Stravinsky
Genre0	Claude Debussy
Genre0	 Robert Casadesus
Genre2	Igor Stravinsky
Genre0	Frédéric Chopin
Genre0	 Arthur Rubinstein
Genre0	Felix Mendelssohn
Genre0	 Vladimir Horowitz
Genre4	Gustav Mahler
Genre4	 Bruno Walter
Genre5	 Jascha Heifetz
Genre5	Johann Sebastian Bach
Genre2	Johann Sebastian Bach
Genre2	 Jascha Heifetz
Genre0	Franz Schubert
Genre0	Gustav Mahler
Genre0	 Bruno Walter
Genre0	 New York Philharmonic
Genre0	George Frideric Handel
Genre2	Ignacio Corsini
Genre4	Giuseppe Verdi
Genre4	 Arturo Toscanini
Genre0	Frédéric Chopin
Genre0	Johann Sebastian Bach
Genre0	 Jascha Heifetz
Genre5	Wolfgang Amadeus Mozart
Genre5	 George Szell
Genre0	Ludwig van Beethoven
Genre0	 Arturo Toscanini
Genre4	Giuseppe Verdi
Genre4	 Arturo Toscanini
Genre0	Franz Joseph Haydn
Genre0	 Isaac Stern
Genre5	Felix Mendelssohn
Genre5	 Arturo Toscanini
Genre0	Maurice Ravel
Genre0	 Robert Casadesus
Genre2	Suraiya
Genre0	Ludwig van Beethoven
Genre0	 Arturo Toscanini
Genre0	Franz Joseph Haydn
Genre0	 Isaac Stern
Genre0	Wolfgang Amadeus Mozart
Genre0	 George Szell
Genre0	 Cleveland Orchestra
Genre0	Maurice Ravel
Genre0	 Robert Casadesus
Genre0	Wolfgang Amadeus Mozart
Genre0	 George Szell
Genre0	 Cleveland Orchestra
Genre5	 Isaac Stern
Genre5	 Eugene Ormandy
Genre5	 Philadelphia Orchestra
Genre0	Maurice Ravel
Genre0	 Robert Casadesus
Genre0	Lata Mangeshkar
Genre5	Wolfgang Amadeus Mozart
Genre5	 George Szell
Genre5	 Cleveland Orchestra
Genre2	Suraiya
Genre4	Franz Joseph Haydn
Genre4	 Isaac Stern
Genre4	 Columbia Symphony Orchestra
Genre4	Shamshad Begum
Genre0	Johannes Brahms
Genre0	 Isaac Stern
Genre0	Ludwig van Beethoven
Genre0	 Rudolf Serkin
Genre4	Shamshad Begum
Genre0	Francisco Canaro
Genre4	Shamshad Begum
Genre7	 Isaac Stern
Genre7	 Eugene Ormandy
Genre7	 Philadelphia Orchestra
Genre4	Lead Belly
Genre0	Wolfgang Amadeus Mozart
Genre0	 George Szell
Genre0	 Cleveland Orchestra
Genre5	Maurice Ravel
Genre5	 Robert Casadesus
Genre5	Suraiya
Genre0	Wolfgang Amadeus Mozart
Genre0	 George Szell
Genre0	 Cleveland Orchestra
Genre4	Amirbai Karnataki
Genre0	Wolfgang Amadeus Mozart
Genre0	 George Szell
Genre0	 Cleveland Orchestra
Genre0	Wolfgang Amadeus Mozart
Genre0	 George Szell
Genre0	 Cleveland Orchestra
Genre7	Richard Rodgers
Genre2	 Isaac Stern
Genre0	Wolfgang Amadeus Mozart
Genre0	 Cleveland Orchestra
Genre2	Amirbai Karnataki
Genre7	Igor Stravinsky
Genre7	 New York Philharmonic
Genre0	Igor Stravinsky
Genre0	 Concertgebouworkest
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre0	Robert Schumann
Genre0	 Bruno Walter
Genre7	Doris Day
Genre7	 Paul Weston And His Orchestra
Genre0	Igor Stravinsky
Genre0	Ludwig van Beethoven
Genre0	 Jascha Heifetz
Genre5	Igor Stravinsky
Genre4	Suraiya
Genre2	Igor Stravinsky
Genre7	Giacomo Puccini
Genre2	Shamshad Begum
Genre7	Igor Stravinsky
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre4	Suraiya
Genre2	Suraiya
Genre5	Johann Sebastian Bach
Genre5	 Jascha Heifetz
Genre7	Igor Stravinsky
Genre0	Igor Stravinsky
Genre5	Igor Stravinsky
Genre5	 Leonard Bernstein
Genre5	 London Symphony Orchestra
Genre0	 Concertgebouworkest
Genre7	Wolfgang Amadeus Mozart
Genre7	Wolfgang Amadeus Mozart
Genre2	Igor Stravinsky
Genre2	Giacomo Puccini
Genre2	Shamshad Begum
Genre0	 New York Philharmonic
Genre0	 Bruno Walter
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre0	Igor Stravinsky
Genre0	 Eugene Ormandy
Genre0	Johann Sebastian Bach
Genre4	Igor Stravinsky
Genre2	Igor Stravinsky
Genre0	Igor Stravinsky
Genre2	Igor Stravinsky
Genre2	Igor Stravinsky
Genre2	 New York Philharmonic
Genre0	Johannes Brahms
Genre0	 Jascha Heifetz
Genre5	Igor Stravinsky
Genre7	Shamshad Begum
Genre7	Igor Stravinsky
Genre7	 Columbia Symphony Orchestra
Genre2	Amirbai Karnataki
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre0	Igor Stravinsky
Genre0	 Pierre Monteux
Genre2	Igor Stravinsky
Genre2	 Pierre Monteux
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre7	Giacomo Puccini
Genre7	 London Philharmonic Orchestra
Genre0	Igor Stravinsky
Genre7	 Jascha Heifetz
Genre7	 Jascha Heifetz
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre0	 Jascha Heifetz
Genre4	Wolfgang Amadeus Mozart
Genre0	Igor Stravinsky
Genre0	 Columbia Symphony Orchestra
Genre4	Giacomo Puccini
Genre0	Igor Stravinsky
Genre5	Igor Stravinsky
